2	8	39	22	32	4	33	6	19	15	37	35	34	29	42	41	44	43	1	45	45
1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3
2	2	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	1	45	45
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	8	45	45	45	5	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	8	45	45	45	45	45	7	45	45	45	45	45	45	45	45	45	45	45	45	45
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	8	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	19	11
45	10	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
14	10	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	11
45	45	45	45	45	12	45	12	45	45	45	45	45	45	45	45	45	45	45	45	45
45	13	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
14	13	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	16	16	16	16	16	16	16	18	17	16	16	16	16	16	16	16	16	16	16	16
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	20	20	20	20	20	20	20	21	20	20	20	20	20	20	20	20	20	20	20	20
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	45	45	23	45	26	45	45	24	25	45	45	45	27	45	45	45	45	45	45	45
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	45	45	28	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	30	30	30	30	30	30	30	30	30	30	30	30	31	30	30	30	30	30	30	30
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	45	45	45	45	45	45	45	45	45	45	36	45	45	45	45	45	45	45	45	45
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	45	45	45	45	45	45	45	45	45	38	45	45	45	45	45	45	45	45	45	45
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	45	45	40	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
