26 24
1	1	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	101
2	2	102	102	102	102	102	102	102	102	101	102	102	102	102	102	102	102	102	102	102	102	102	102
102	102	102	102	102	102	102	102	3	102	4	102	102	102	102	102	102	102	102	102	102	102	102	102
5	5	102	102	102	102	102	102	101	102	101	102	102	102	102	102	102	102	102	102	102	102	102	102
6	6	101	101	101	101	101	101	102	101	102	101	101	101	102	102	102	102	102	102	102	102	102	102
7	8	101	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102
102	102	9	102	102	102	102	102	102	102	102	101	102	102	102	102	102	102	102	102	102	102	102	102
102	102	102	102	102	102	102	102	10	102	102	11	102	102	102	102	102	102	102	102	102	102	102	102
17	17	14	14	12	13	15	101	102	14	102	18	16	101	102	102	102	102	102	102	102	102	102	102
101	101	101	101	19	101	101	101	102	101	102	101	101	101	102	102	102	102	102	102	102	102	102	102
102	102	20	20	102	102	102	102	102	20	21	21	102	102	102	102	102	102	102	102	102	102	102	102
101	101	101	101	101	22	101	101	102	101	102	101	101	101	102	102	102	102	102	102	102	102	102	102
101	101	101	101	101	101	23	101	102	101	102	101	101	101	102	102	102	102	102	102	102	102	102	102
25	25	25	25	25	25	25	24	102	25	102	25	25	25	102	102	102	102	102	102	102	102	102	102
101	101	101	101	101	101	101	101	102	101	102	101	26	101	102	102	102	102	102	102	102	102	102	101
27	27	27	27	27	27	27	102	102	27	102	27	27	27	102	102	102	102	102	102	102	102	102	102
28	28	28	28	28	28	28	102	102	28	102	28	28	29	102	102	102	102	102	102	102	102	102	102
102	102	30	30	102	102	102	102	102	30	101	101	102	102	102	102	102	102	102	102	102	102	102	102
102	102	31	31	102	102	102	102	102	31	101	101	102	102	102	102	102	102	102	102	102	102	102	102
102	102	102	102	102	102	102	102	102	102	33	33	102	102	32	32	32	32	32	102	102	102	102	102
102	102	101	101	102	102	102	102	102	101	102	102	102	102	34	35	36	38	37	102	102	102	102	102
102	102	39	39	102	102	102	102	102	39	101	101	102	102	101	101	101	101	101	102	102	102	102	102
102	102	102	102	102	102	102	102	102	102	42	42	102	102	42	42	42	42	42	40	41	102	102	102
102	102	43	43	102	102	102	102	102	43	101	101	102	102	101	101	101	101	101	101	101	102	102	102
102	102	102	102	102	102	102	102	102	102	46	46	102	102	46	46	46	46	46	46	46	44	45	102
102	102	48	49	102	102	102	102	102	47	101	101	102	102	101	101	101	101	101	101	101	101	101	102
